"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"Comoros",2004,61.3,59.6,63,113.3,126.3,99.8,"Eastern Africa","Africa"
"Congo (Brazzaville)",2004,64.1,63.2,65,90.4,96.1,84.5,"Middle Africa","Africa"
"Congo (Kinshasa)",2004,52.9,51.9,54,143.8,152.7,134.7,"Middle Africa","Africa"
"Cook Islands",2004,73,70.3,75.8,28.3,34.9,21.5,"Polynesia","Oceania"
"Costa Rica",2004,76.4,73.9,78.9,11.6,12.6,10.5,"Central America","Americas"
"Croatia",2004,75.3,71.8,79.1,7.2,7.7,6.6,"Southern Europe","Europe"
"Cuba",2004,77.2,75,79.5,7.9,8.4,7.5,"Caribbean","Americas"
"Curaçao",2004,75.1,72.9,77.3,13.2,14,12.4,NA,NA
"Cyprus",2004,76.3,73.6,79.2,13.5,15.8,11,"Western Asia","Asia"
"Czechia",2004,75.9,72.7,79.3,4.6,5.1,4.1,"Eastern Europe","Europe"
"Côte d'Ivoire",2004,52.1,50.2,54.1,130.3,142.1,118.1,NA,NA
"Denmark",2004,77.7,75.4,80.1,5.3,5.4,5.2,"Northern Europe","Europe"
"Djibouti",2004,58.6,56.3,60.9,93.4,104.3,82.2,"Eastern Africa","Africa"
"Dominica",2004,76,73.2,78.9,16.1,21.6,10.3,"Caribbean","Americas"
"Dominican Republic",2004,68.1,66.5,69.9,38.5,42,34.9,"Caribbean","Americas"
"Ecuador",2004,75.9,73,79,23.8,26.4,20.9,"South America","Americas"
"Egypt",2004,69.1,67.9,70.5,38.5,40.1,36.8,"Northern Africa","Africa"
"El Salvador",2004,70.3,66.6,74.1,27.1,29.7,24.4,"Central America","Americas"
"Equatorial Guinea",2004,59.4,57.3,61.6,137.1,144.9,129,"Middle Africa","Africa"
"Eritrea",2004,61,58.7,63.4,89.6,99.4,79.6,"Eastern Africa","Africa"
"Estonia",2004,71.9,66.3,77.8,8,8.1,8,"Northern Europe","Europe"
"Eswatini",2004,47.9,46.3,49.5,108.8,114.9,102.4,"Southern Africa","Africa"
"Ethiopia",2004,56,54.6,57.5,116.6,126.1,106.9,"Eastern Africa","Africa"
"Faroe Islands",2004,79.6,77.8,81.6,8.8,9.4,8.1,"Northern Europe","Europe"
"Fiji",2004,69.1,66.6,71.7,26.6,30.2,22.8,"Melanesia","Oceania"
"Finland",2004,78.7,75.3,82.3,4.2,5.1,3.2,"Northern Europe","Europe"
"France",2004,80.2,76.8,83.8,5.4,6,4.8,"Western Europe","Europe"
"French Polynesia",2004,74.2,72.2,76.2,17.2,20.2,14.1,"Polynesia","Oceania"
"Gabon",2004,59.9,59.3,60.6,84.7,90.9,78.3,"Middle Africa","Africa"
"Gambia, The",2004,61,59.2,62.8,97.5,103.5,91.4,"Western Africa","Africa"
"Gaza Strip",2004,71.4,70.1,72.9,28.5,29.9,27,"Western Asia","Asia"
"Georgia",2004,72.8,69.3,76.7,26.4,27.1,25.5,"Western Asia","Asia"
"Germany",2004,79.1,76.4,82,5.1,5.5,4.6,"Western Europe","Europe"
"Ghana",2004,61.1,59.5,62.7,86,92.8,79,"Western Africa","Africa"
